N,nominal_load,actual_load,P,deltaF_cum_mean,deltaF_cum_sem,deltaF_int_mean,deltaF_int_sem,delta_randers_asymmetry_mean,delta_randers_asymmetry_sem,corr_cost_int_mean,uncorr_cost_int_mean,corr_cost_cum_mean,uncorr_cost_cum_mean,corr_randers_asymmetry_mean,uncorr_randers_asymmetry_mean,reference_load,load_distance
64,0.1,0.09375,6,0.006427963565180939,0.0012325840073868163,0.001085187061832027,0.00020936448562014685,0.010871893948373594,0.0013261368891940685,1.0016543641782987,1.0005691771164666,1.0098248068419475,1.0033968432767666,0.01115576709696331,0.00028387314858971483,0.1,0.0062500000000000056
128,0.1,0.1015625,13,0.011416471391077376,0.0010251644509712624,0.0008883878230907527,8.041897005112774e-05,0.017344398727662982,0.0010207601440297962,1.001018177754625,1.0001297899315342,1.0131010657567379,1.0016845943656605,0.017314249965329088,-3.0148762333895297e-05,0.1,0.0015624999999999944
256,0.1,0.1015625,26,0.012481510255522466,0.000783368434056283,0.0004846335138630753,3.0738001590754874e-05,0.02029559787695592,0.0007572014961728383,1.0005145616247235,1.0000299281108604,1.0132592198606902,1.0007777096051678,0.020304671173836875,9.073296880957038e-06,0.1,0.0015624999999999944
512,0.1,0.099609375,51,0.01643621966322706,0.0006968448975710624,0.00032555156741187474,1.3952230949791314e-05,0.023681185551163702,0.0005864275712196388,1.0003331798230746,1.0000076282556627,1.0168251714927792,1.0003889518295521,0.02366983734478587,-1.134820637783418e-05,0.1,0.00039062500000000555
1024,0.1,0.099609375,102,0.027454687564704372,0.0007440949206040183,0.0002731912948616966,7.51077362925225e-06,0.028220690506013092,0.0004211364364605534,1.0002750500216073,1.0000018587267456,1.027644258221352,1.0001895706566477,0.02818465874205763,-3.603176395546396e-05,0.1,0.00039062500000000555
64,0.3,0.296875,19,0.01917687501679266,0.0024620576616985355,0.0010416627770584164,0.00013642931852872673,0.016314347443035577,0.0015223640665149502,1.0015393110888213,1.000497648311763,1.028556308628004,1.0093794336112114,0.016444417097073435,0.00013006965403785837,0.3,0.003124999999999989
128,0.3,0.296875,38,0.028327891253172144,0.002086311078881506,0.0007655281771630218,5.758041900294473e-05,0.024441124857123752,0.0012208789301448347,1.000887568180918,1.000122040003755,1.032951585657395,1.0046236944042228,0.02414406922717956,-0.000297055629944192,0.3,0.003124999999999989
256,0.3,0.30078125,77,0.03559327655563327,0.0018335858523650425,0.0004740310604807174,2.493030339228636e-05,0.02780693619951848,0.0009258258358259238,1.000505904494561,1.0000318734340803,1.0380440980823242,1.002450821526691,0.0278326579035588,2.5721704040320333e-05,0.3,0.0007812500000000111
512,0.3,0.30078125,154,0.049055583878699904,0.0018130089699496005,0.0003279370342250676,1.243702101825098e-05,0.03012332748214475,0.0006777005732623429,1.0003356364690015,1.0000076994347764,1.0502405373506662,1.0011849534719663,0.030159818559396073,3.649107725132254e-05,0.3,0.0007812500000000111
1024,0.3,0.2998046875,307,0.08363949900600898,0.0022014424594476987,0.00028488801376225226,7.82399537081215e-06,0.03354003014333595,0.0005121174672476806,1.0002867866023757,1.0000018985886134,1.0842221900255073,1.0005826910194984,0.03350997795909042,-3.0052184245532577e-05,0.3,0.0001953124999999889
64,0.6,0.59375,38,0.039637823661272664,0.0038848148691341703,0.0011009110003816769,0.0001104105289553594,0.022154439360074062,0.0016739162998627966,1.0015712871420015,1.0004703761416198,1.0573019866998332,1.0176641630385606,0.021919397409487888,-0.00023504195058617338,0.6,0.006249999999999978
128,0.6,0.6015625,77,0.059631005938707515,0.00369722453267665,0.0008143287244477548,5.2354071601407875e-05,0.03070831385392575,0.0013384596853217323,1.0009326185226881,1.0001182897982404,1.0686919277032663,1.0090609217645587,0.030488636133428077,-0.00021967772049767315,0.6,0.0015625000000000222
256,0.6,0.6015625,154,0.07233408027507804,0.003206391455670363,0.0004926727231249206,2.265885890939123e-05,0.032263019605377044,0.000979295311787145,1.0005230335500976,1.0000303608269727,1.0769978635163748,1.0046637832412968,0.032256426140300234,-6.5934650768077285e-06,0.6,0.0015625000000000222
512,0.6,0.599609375,307,0.10003318572139164,0.0037305622726791733,0.00034555098026833875,1.35435566377945e-05,0.03340026071748092,0.0007838127092450919,1.0003534537286687,1.0000079027484003,1.1024562579309323,1.0024230722095406,0.033566943549425875,0.00016668283194495406,0.6,0.0003906249999999778
1024,0.6,0.599609375,614,0.164586622983101,0.0041603281207060775,0.00029205632074713606,7.948400074883416e-06,0.03555343907230457,0.0005417557574325873,1.0002939435021396,1.0000018871813925,1.1657446669888385,1.0011580440057375,0.03551628251436787,-3.7156557936699847e-05,0.6,0.0003906249999999778
