N,actual_load,nominal_load,chiF_int,deltaF_int_mean
64,0.046875,0.05,-0.005543719596531105,0.0013450489179194225
64,0.09375,0.1,-0.0014902617599094215,0.001085187061832027
64,0.15625,0.15,-0.0011733061495704418,0.001329833854889495
64,0.203125,0.2,-0.002382821418684955,0.001095972263712719
64,0.25,0.25,-0.000579301190979228,0.0011064443468877805
64,0.296875,0.3,0.0020267853988353117,0.0010416627770584164
64,0.34375,0.35,0.0005675054708976831,0.0012964554780285908
64,0.40625,0.4,0.002332221747747573,0.0009262518908097483
64,0.453125,0.45,0.002455170979267507,0.0013258064738652653
64,0.5,0.5,0.0007190276703047029,0.0011564241701160771
64,0.546875,0.55,-0.0005921404771669359,0.0013932153179563311
64,0.59375,0.6,-0.006235825441592624,0.0011009110003816769
128,0.046875,0.05,0.006021192610229978,0.0005591038522188008
128,0.1015625,0.1,0.000864549822273469,0.0008883878230907527
128,0.1484375,0.15,-0.00122582550994368,0.0007217270554222832
128,0.203125,0.2,-0.00106991391471433,0.000803323324169547
128,0.25,0.25,-0.0004031482347362676,0.0006502352176929183
128,0.296875,0.3,4.733110383805302e-05,0.0007655281771630218
128,0.3515625,0.35,0.00042724559682644735,0.0006142098917678585
128,0.3984375,0.4,0.0009678767402321103,0.0007625757646900766
128,0.453125,0.45,-0.00033063131134806155,0.0006753166382140741
128,0.5,0.5,0.00039553226084384097,0.0007106427477174826
128,0.546875,0.55,0.0008804127605330806,0.0007123977876681842
128,0.6015625,0.6,0.001863879986826435,0.0008143287244477548
256,0.05078125,0.05,0.000561300582214349,0.0004561299686725029
256,0.1015625,0.1,0.00014602207347463522,0.0004846335138630753
256,0.1484375,0.15,-0.00020117858478336473,0.0004735095169290382
256,0.19921875,0.2,-0.0003199618528941968,0.000465281221646352
256,0.25,0.25,8.61522592922135e-05,0.00044101339124447136
256,0.30078125,0.3,-9.060941913765792e-05,0.0004740310604807174
256,0.3515625,0.35,-0.00015341016423614517,0.00043181087211330293
256,0.3984375,0.4,0.0003600025863288005,0.00045395642923828916
256,0.44921875,0.45,0.0003833746211621648,0.000466052368453429
256,0.5,0.5,3.693099702454291e-05,0.0004928929142000715
256,0.55078125,0.55,-2.168035201486132e-06,0.0004698031728387342
256,0.6015625,0.6,0.0004503542210202865,0.0004926727231249206
512,0.05078125,0.05,-0.0003259281304508477,0.00034146602690654504
512,0.099609375,0.1,-1.6591940581578597e-05,0.00032555156741187474
512,0.150390625,0.15,0.00016396097642664125,0.00034104582545668727
512,0.19921875,0.2,-6.808321204965998e-05,0.00034242440751741654
512,0.25,0.25,-0.00014264490626312827,0.00033388033791226235
512,0.30078125,0.3,-3.377491348083121e-05,0.0003279370342250676
512,0.349609375,0.35,0.00024329870588476804,0.0003301970506301988
512,0.400390625,0.4,0.00016910930463419523,0.0003529568421991591
512,0.44921875,0.45,-0.00023647347007802431,0.00034811112794064236
512,0.5,0.5,8.223335780362844e-05,0.0003288550789417588
512,0.55078125,0.55,0.00015257179437680804,0.0003564629533425734
512,0.599609375,0.6,-0.00022347720856032537,0.00034555098026833875
1024,0.0498046875,0.05,-0.00028357543529262545,0.00028731468079912226
1024,0.099609375,0.1,-0.00015097881972671312,0.0002731912948616966
1024,0.150390625,0.15,0.00016755668784809935,0.00027238985143673844
1024,0.2001953125,0.2,0.00010481476850181205,0.00028969050060467794
1024,0.25,0.25,-4.821320124160679e-05,0.00028283038501797364
1024,0.2998046875,0.3,8.407407324953313e-05,0.00028488801376225226
1024,0.349609375,0.35,3.9990277452620505e-05,0.00029120495090806386
1024,0.400390625,0.4,-5.333829613082515e-05,0.00028873919338412435
1024,0.4501953125,0.45,-6.267193023578492e-05,0.0002858491181156886
1024,0.5,0.5,-0.00017481849633494513,0.0002824964815832942
1024,0.5498046875,0.55,9.597328729190257e-05,0.0002684355569573249
1024,0.599609375,0.6,0.00047426788472091405,0.00029205632074713606
