grouping,n_conditions,pearson_deltaF_vs_retrieval_degradation,spearman_deltaF_vs_retrieval_degradation,pearson_deltaF_vs_failure_increase,spearman_deltaF_vs_failure_increase,generator,cue_noise
all,720,0.10542046577378124,0.22932986422132853,0.30906890318934144,0.40734937682567146,,
by_generator,240,0.03588987575238689,0.09987941001881873,0.28565143953295385,0.347758325315776,block,
by_generator,240,0.03710657642318398,0.1293977088546029,0.28379028815922414,0.36674286522019284,latent,
by_generator,240,0.23783717926650372,0.34817564312830673,0.3677669973128894,0.44069045097880605,mixture,
by_cue_noise,180,0.13310620529555947,0.2626341195532257,0.3327912454314408,0.4427612234892631,,0.05
by_cue_noise,180,0.1177563745216114,0.2462704380044536,0.31603637265322465,0.41593500445638887,,0.1
by_cue_noise,180,0.09604223356189992,0.22835525449445854,0.3007841975062277,0.41208323989078033,,0.15
by_cue_noise,180,0.07470751273382974,0.1755177628939165,0.2890326763950138,0.37968415127066907,,0.2
by_generator_and_noise,60,0.06574350887623777,0.13676021116976936,0.31348964374378807,0.38007414364579023,block,0.05
by_generator_and_noise,60,0.047318702786284514,0.11558766323978881,0.29457358593905714,0.36228002592821645,block,0.1
by_generator_and_noise,60,0.026443669194253398,0.09608224506807445,0.28094999002570187,0.35646054688091744,block,0.15
by_generator_and_noise,60,0.004054240056221578,0.054904140038899686,0.25610846837354373,0.31927676932437477,block,0.2
by_generator_and_noise,60,0.06493538210839882,0.15876852972537658,0.3064832215936214,0.3855826584490394,latent,0.05
by_generator_and_noise,60,0.05011579436807426,0.144484579049736,0.28862513597683254,0.3869007754436331,latent,0.1
by_generator_and_noise,60,0.026414012288608502,0.13509308141150317,0.27340097244758205,0.37219870958621787,latent,0.15
by_generator_and_noise,60,0.00703354520732194,0.0812447902195054,0.2695557724762137,0.3337660493852101,latent,0.2
by_generator_and_noise,60,0.2574005612225868,0.3726552766277096,0.3875989074027416,0.4804970642280501,mixture,0.05
by_generator_and_noise,60,0.24983267539283988,0.35236904605811764,0.3731211169947682,0.42825207462395987,mixture,0.1
by_generator_and_noise,60,0.23042810075412773,0.34560080026675427,0.3601872230291642,0.45164529309392565,mixture,0.15
by_generator_and_noise,60,0.21371166022421018,0.3085857182550708,0.3526151921006144,0.43582714834490155,mixture,0.2
