subset,n_conditions,spearman_cost_failure,ci95_failure_lo,ci95_failure_hi,spearman_cost_overlap_loss,ci95_overlap_lo,ci95_overlap_hi,pearson_cost_failure,pearson_cost_overlap_loss
all,720,0.4073536358068583,0.34562660291214253,0.4679679661844113,0.22932986422132853,0.15856700377995633,0.30174889969117036,0.3090689031893361,0.10542046577377659
nominal_load_le_0.20,576,0.551613493649276,0.49172176490156716,0.6066060849014483,0.3546134939826571,0.27868834359112704,0.4278979102197395,0.38634232461865836,0.19229107893686495
nominal_load_0.05,144,0.742337174562835,0.6550924404210322,0.8051010176823974,0.6166075467504615,0.48816655923435787,0.7088120854690543,0.5404472787795206,0.3856226265173433
nominal_load_0.1,144,0.6781552853123507,0.5684349455986202,0.7624747667852656,0.40316812030986326,0.21705957329592018,0.5482925324435295,0.49923488645013037,0.3220032562041151
nominal_load_0.15,144,0.617143167613513,0.5013533637669413,0.7086398737460458,0.15768102990180333,-0.04756422286362097,0.3394514235053804,0.41704538411137637,0.09947547788074351
nominal_load_0.2,144,0.4559116584512569,0.3084778591425281,0.5792879261224286,-0.036971819249795604,-0.2047299878587146,0.13617058672656393,0.3075857253370956,-0.1893164419187383
nominal_load_0.3,144,0.21916592871962465,0.06319299206077285,0.3635089551583186,-0.6288103977756668,-0.7153891418881583,-0.5186613864217234,0.14563264950825525,-0.6026597562027713
generator_block,240,0.34775832531577605,0.23609451706423515,0.4517764306526927,0.09987941001881873,-0.02556100442707291,0.22293864864152194,0.2856514395329506,0.03588987575238357
generator_latent,240,0.36678122893841536,0.2544740851676479,0.47076613215953395,0.12939770885460292,0.0034717914183442335,0.2583992214505179,0.2837902881592206,0.03710657642318184
generator_mixture,240,0.44069045097880594,0.33420722768397376,0.5398151550425901,0.34817564312830673,0.22900506744478583,0.46203158499346775,0.36776699731287005,0.23783717926648432
